velocidad_bala,distancia_bala1,bala2_y,distancia_bala2,mov_derecha,accion
-7,637,153,0,0,0
-7,630,156,0,0,0
-7,623,159,0,0,0
-7,616,162,0,0,0
-7,609,165,0,0,0
-7,602,168,0,0,0
-7,595,171,0,0,0
-7,588,174,0,0,0
-7,581,177,0,0,0
-7,574,180,0,0,0
-7,567,183,0,0,0
-7,560,186,0,0,0
-7,553,189,0,0,0
-7,546,192,0,0,0
-7,539,195,0,0,0
-7,532,198,0,0,0
-7,525,201,0,0,0
-7,518,204,0,0,0
-7,511,207,0,0,0
-7,504,210,0,0,0
-7,497,213,0,0,0
-7,490,216,0,0,0
-7,483,219,0,0,0
-7,476,222,0,0,0
-7,469,225,0,0,0
-7,462,228,0,0,0
-7,455,231,0,0,0
-7,448,234,0,0,0
-7,441,237,0,0,0
-7,434,240,0,0,0
-7,427,243,0,0,0
-7,417,246,3,1,2
-7,407,249,6,1,2
-7,397,252,9,1,2
-7,387,255,12,1,2
-7,377,258,15,1,2
-7,367,261,18,1,2
-7,357,264,21,1,2
-7,347,267,24,1,2
-7,337,270,27,1,2
-7,327,273,30,1,2
-7,320,276,30,1,2
-7,313,279,30,1,2
-7,306,282,30,1,2
-7,299,285,30,1,2
-7,292,288,30,1,2
-7,285,291,30,1,2
-7,278,294,30,1,2
-7,271,297,30,1,2
-7,264,300,30,1,2
-7,257,303,30,1,2
-7,250,306,30,1,2
-7,243,309,30,1,2
-7,236,312,30,1,2
-7,229,315,30,1,2
-7,222,318,30,1,2
-7,215,321,30,1,2
-7,208,324,30,1,2
-7,201,327,30,1,2
-7,194,330,30,1,2
-7,187,333,30,1,2
-7,180,336,30,1,2
-7,173,339,30,1,2
-7,169,342,27,0,0
-7,165,345,24,0,0
-7,161,348,21,0,0
-7,157,351,18,0,0
-7,153,354,15,0,0
-7,149,357,12,0,0
-7,145,360,9,0,0
-7,141,363,6,0,0
-7,137,366,3,0,0
-7,133,369,0,0,0
-7,126,372,0,0,0
-7,119,375,0,0,0
-7,112,378,0,0,0
-7,105,381,0,0,0
-7,98,384,0,0,0
-7,91,387,0,0,0
-7,84,390,0,0,0
-7,77,393,0,0,0
-7,70,396,0,0,1
-7,63,399,0,0,1
-7,56,0,0,0,1
-7,49,3,0,0,1
-7,42,6,0,0,1
-7,35,9,0,0,1
-7,28,12,0,0,1
-7,21,15,0,0,1
-7,14,18,0,0,1
-7,7,21,0,0,1
-7,0,24,0,0,1
-7,7,27,0,0,1
-7,14,30,0,0,1
-7,21,33,0,0,1
-7,28,36,0,0,1
-7,35,39,0,0,1
-7,42,42,0,0,1
-7,49,45,0,0,1
-3,700,48,0,0,1
-3,697,51,0,0,1
-3,694,54,0,0,1
-3,691,57,0,0,1
-3,688,60,0,0,1
-3,685,63,0,0,1
-3,682,66,0,0,1
-3,679,69,0,0,1
-3,676,72,0,0,1
-3,673,75,0,0,1
-3,670,78,0,0,1
-3,667,81,0,0,1
-3,664,84,0,0,0
-3,661,87,0,0,0
-3,658,90,0,0,0
-3,655,93,0,0,0
-3,652,96,0,0,0
-3,649,99,0,0,0
-3,646,102,0,0,0
-3,643,105,0,0,0
-3,640,108,0,0,0
-3,637,111,0,0,0
-3,634,114,0,0,0
-3,631,117,0,0,0
-3,628,120,0,0,0
-3,625,123,0,0,0
-3,622,126,0,0,0
-3,619,129,0,0,0
-3,616,132,0,0,0
-3,613,135,0,0,0
-3,610,138,0,0,0
-3,607,141,0,0,0
-3,604,144,0,0,0
-3,601,147,0,0,0
-3,598,150,0,0,0
-3,595,153,0,0,0
-3,592,156,0,0,0
-3,589,159,0,0,0
-3,586,162,0,0,0
-3,583,165,0,0,0
-3,580,168,0,0,0
-3,577,171,0,0,0
-3,574,174,0,0,0
-3,571,177,0,0,0
-3,568,180,0,0,0
-3,565,183,0,0,0
-3,562,186,0,0,0
-3,559,189,0,0,0
-3,556,192,0,0,0
-3,553,195,0,0,0
-3,550,198,0,0,0
-3,547,201,0,0,0
-3,544,204,0,0,0
-3,541,207,0,0,0
-3,538,210,0,0,0
-3,535,213,0,0,0
-3,532,216,0,0,0
-3,529,219,0,0,0
-3,526,222,0,0,0
-3,523,225,0,0,0
-3,520,228,0,0,0
-3,517,231,0,0,0
-3,514,234,0,0,0
-3,511,237,0,0,0
-3,508,240,0,0,0
-3,505,243,0,0,0
-3,502,246,0,0,0
-3,499,249,0,0,0
-3,493,252,3,1,2
-3,487,255,6,1,2
-3,481,258,9,1,2
-3,475,261,12,1,2
-3,469,264,15,1,2
-3,463,267,18,1,2
-3,457,270,21,1,2
-3,451,273,24,1,2
-3,445,276,27,1,2
-3,439,279,30,1,2
-3,436,282,30,1,2
-3,433,285,30,1,2
-3,430,288,30,1,2
-3,427,291,30,1,2
-3,424,294,30,1,2
-3,421,297,30,1,2
-3,418,300,30,1,2
-3,415,303,30,1,2
-3,412,306,30,1,2
-3,409,309,30,1,2
-3,406,312,30,1,2
-3,403,315,30,1,2
-3,400,318,30,1,2
-3,397,321,30,1,2
-3,394,324,30,1,2
-3,391,327,30,1,2
-3,388,330,30,1,2
-3,385,333,30,1,2
-3,382,336,30,1,2
-3,379,339,30,1,2
-3,376,342,30,1,2
-3,373,345,30,1,2
-3,370,348,30,1,2
-3,367,351,30,1,2
-3,367,354,27,0,0
-3,367,357,24,0,0
-3,367,360,21,0,0
-3,367,363,18,0,0
-3,367,366,15,0,0
-3,367,369,12,0,0
-3,367,372,9,0,0
-3,367,375,6,0,0
-3,367,378,3,0,0
-3,367,381,0,0,0
-3,364,384,0,0,0
-3,361,387,0,0,0
-3,358,390,0,0,0
-3,355,393,0,0,0
-3,352,396,0,0,0
-3,349,399,0,0,0
-3,346,0,0,0,0
-3,343,3,0,0,0
-3,340,6,0,0,0
-3,337,9,0,0,0
-3,334,12,0,0,0
-3,331,15,0,0,0
-3,328,18,0,0,0
-3,325,21,0,0,0
-3,322,24,0,0,0
-3,319,27,0,0,0
-3,316,30,0,0,0
-3,313,33,0,0,0
-3,310,36,0,0,0
-3,307,39,0,0,0
-3,304,42,0,0,0
-3,301,45,0,0,0
-3,298,48,0,0,0
-3,295,51,0,0,0
-3,292,54,0,0,0
-3,289,57,0,0,0
-3,286,60,0,0,0
-3,283,63,0,0,0
-3,280,66,0,0,0
-3,277,69,0,0,0
-3,274,72,0,0,0
-3,271,75,0,0,0
-3,268,78,0,0,0
-3,265,81,0,0,0
-3,262,84,0,0,0
-3,259,87,0,0,0
-3,256,90,0,0,0
-3,253,93,0,0,0
-3,250,96,0,0,0
-3,247,99,0,0,0
-3,244,102,0,0,0
-3,241,105,0,0,0
-3,238,108,0,0,0
-3,235,111,0,0,0
-3,232,114,0,0,0
-3,229,117,0,0,0
-3,226,120,0,0,0
-3,223,123,0,0,0
-3,220,126,0,0,0
-3,217,129,0,0,0
-3,214,132,0,0,0
-3,211,135,0,0,0
-3,208,138,0,0,0
-3,205,141,0,0,0
-3,202,144,0,0,0
-3,199,147,0,0,0
-3,196,150,0,0,0
-3,193,153,0,0,0
-3,190,156,0,0,0
-3,187,159,0,0,0
-3,184,162,0,0,0
